tester_name, generator_serial, result, time_elapsed_over_test, test_name, notes
NOah,dfsdfsdfsde,failed,61709,Base Atrial Rate,
NOah,dfsdfsdfsde,passed,123743,Base Ventricular Rate,
NOah,dfsdfsdfsde,failed,2443,Atrial Pulse Voltage,
NOah,dfsdfsdfsde,passed,1647,Ventricular Pulse Voltage,
NOah,dfsdfsdfsde,failed,2246,Atrial Pulse Width,
NOah,dfsdfsdfsde,failed,1840,Ventricular Pulse Width,
NOah,dfsdfsdfsde,failed,1872,Atrial Sensitivity,
NOah,dfsdfsdfsde,passed,1731,Ventricular Sensitivity,
NOah,dfsdfsdfsde,failed,6135,AV/PV Delay,
NOah,dfsdfsdfsde,failed,2065,Ventricular Refractory Period,
NOah,dfsdfsdfsde,failed,1898,PVARP,
NOah,dfsdfsdfsde,failed,1905,Max Sensor Rate,
NOah,dfsdfsdfsde,failed,1978,Max Tracking Rate,




TOTAL TEST TIME MS: 188010
